ticker,model,mae,rmse,mape,directional_accuracy,samples,coverage_p10_p90,naive_mape,ratio,out_of_range_pct
BTC-USD,tft,11038.920892062682,12761.946444747253,11.614897990757406,50.37878787878788,528,46.02272727272727,1.556702854529692,7.461217121148324,55.11450381679389
BVH.VN,tft,2868.3020245351854,3200.532392462202,5.147926318730263,52.53456221198156,515,62.33009708737865,1.5542289117378143,3.3122059947876425,0.0
COIN,tft,17.077316154774866,18.560740970881167,10.187818782188952,53.94736842105263,76,21.052631578947366,3.617355626049718,2.816371912350353,0.0
COST,tft,357.44634877605654,435.7616262836351,45.5660279459087,46.757925072046106,1390,4.820143884892087,1.017944111712263,44.7627992751616,98.022412656559
CRM,tft,16.413572109705655,17.700458683618187,6.6001189543333085,49.15492957746479,710,84.78873239436619,1.6460031820211485,4.009785051708671,8.83054892601432
CRWD,tft,30.11149020522976,40.14723780204233,17.149098895979034,43.44827586206896,145,39.310344827586206,2.79194917444744,6.142339213382366,37.5
CSCO,tft,9.690864742952083,17.978347035695904,12.917183427967124,46.94533762057878,1253,65.76217079010375,1.0937780039760017,11.809693905903906,37.826086956521735
CTG.VN,tft,5063.584194610008,6177.447347250847,15.22421914131636,45.49653579676674,516,35.46511627906977,1.0652047527727986,14.292293666252153,67.54658385093167
CVX,tft,33.091823641050155,45.44727781925332,23.65287488827733,46.36678200692042,2314,46.3267070008643,1.2422298179038949,19.04065942338154,76.36214666120442
DIA,tft,54.11720012480976,69.22977982263583,12.253646201514654,44.4327731092437,953,45.64533053515215,0.611476550859413,20.03943762731784,63.70370370370371
DIS,tft,13.027518990391032,20.51444877131806,9.696000472603886,50.34662045060658,2314,72.5151253241141,1.2539924319774056,7.732104457213015,37.566571077427284
DOCU,tft,1.741322514774662,2.2240013243072734,3.187028062191756,53.2258064516129,187,70.05347593582889,2.4088300666896654,1.3230605621639093,0.0
DOGE-USD,tft,0.0167966838885323,0.0193199470754164,13.143431078550275,56.33802816901409,355,2.2535211267605635,2.668675417732325,4.925076684566888,0.0
DOT-USD,tft,1.2271065944301638,1.2420807888861836,118.4960104842445,40.88669950738916,203,0.0,2.387011296583517,49.64199819826808,0.0
ETH-USD,tft,229.71648206665975,247.98427368926625,9.329336134973456,50.42253521126761,355,43.38028169014084,2.3338739470894847,3.9973607600392627,0.2070393374741201
FPT.VN,tft,14805.284443013985,17331.04501454915,14.209961286463727,53.46756152125279,516,21.124031007751935,1.279387287042241,11.106848903677252,80.27950310559007
GAS.VN,tft,5520.351831684364,7302.833962204533,7.060788459373304,52.95774647887323,428,67.28971962616822,1.6641224263099863,4.242950126590054,8.992805755395683
GLD,tft,103.9644043639106,136.67677075206524,28.97112042282152,42.73381294964029,695,18.1294964028777,0.97841045500846,29.61039538622982,75.91240875912408
GOOGL,tft,71.1153091730404,105.45736707799718,24.99434841927585,45.519203413940254,704,29.6875,1.3835572067573454,18.065280060125097,73.07692307692307
GVR.VN,tft,1694.3441372558163,1914.2579911744976,5.199733078254884,50.0,124,80.64516129032258,2.139764470144092,2.4300492651439964,5.952380952380952
HD,tft,94.90769993592524,107.5746682877222,28.8328005140906,48.18586887332909,1572,3.816793893129771,1.1313330273526168,25.48568796012345,93.81989405532666
HOOD,tft,7.014923341711175,8.34826874115444,7.1867469555191645,49.23076923076923,65,63.07692307692307,3.784498530277681,1.8989958373670843,0.0
HPG.VN,tft,1413.3032005782466,1466.0855057172062,6.439276642645786,53.02325581395348,516,87.59689922480621,1.104063142923554,5.832344539275727,0.0
INTC,tft,5.76729792782597,14.055295699423604,10.174135575349966,49.96911673872761,1629,65.62308164518109,2.202841721853603,4.6186412189382535,20.603301081388732
IWM,tft,15.306539088614617,18.785395435626864,6.651149771347618,47.04519119351101,863,82.03939745075319,0.9897975277081116,6.719707399904744,28.05247225025227
JNJ,tft,41.62262290894464,54.79612776322251,25.850876102913876,47.50758560901604,2314,14.73638720829732,0.8302840456444364,31.134978732307644,97.50102417042196
JPM,tft,78.19276408737797,110.90933668914806,34.45465083615495,46.56019656019656,1629,17.004297114794355,1.2772311367634048,26.976049866326857,89.0153671030165
KO,tft,15.859071811844847,20.51301196031842,26.761165172500167,47.01784936874184,2314,22.255834053586863,0.8103893327193703,33.02260295394003,91.47890208930765
LINK-USD,tft,1.2846737286939982,1.4375583083763814,10.878785526183158,52.95774647887323,355,11.830985915492958,2.650954089795867,4.103724605438513,0.0
LLY,tft,418.3599700940477,565.5724241283923,72.3427611405566,46.20187304890739,1924,0.0,1.3899733305434432,52.04615049144323,99.80497318381278
LTC-USD,tft,8.739871174424186,9.69156361154681,11.105732830282529,51.70454545454546,528,5.303030303030303,2.2388934316743603,4.960366881766716,0.0
MA,tft,88.74217817135612,95.5333539320214,16.68716256708175,46.08150470219436,638,12.38244514106583,0.952534148334212,17.51870271135601,92.94117647058823
MANA-USD,tft,0.009077158441736,0.012001071216487,7.678163534229471,48.732394366197184,355,98.30985915492958,2.911406637186214,2.6372693653162043,0.0
MATIC-USD,tft,0.0414812988585621,0.04861187619323,9.787959123965011,50.25380710659898,197,27.411167512690355,3.4484958919101665,2.8383270361222133,0.0
MBB.VN,tft,4849.845237781561,5728.689062066796,23.311216611885826,46.34146341463415,450,28.88888888888889,1.113084771439151,20.94289420719128,77.81629116117851
MCD,tft,92.60779002609146,109.17392090421146,36.890643891017525,48.03738317757009,2144,8.488805970149253,0.8861952274128724,41.628122957415144,98.45882870981947
META,tft,98.22730078548028,106.32316039418748,14.747516048237486,48.9051094890511,411,8.27250608272506,1.7064658087890112,8.642139779350762,91.09461966604823
MRK,tft,30.309707460233643,38.81131743121185,33.27867174633696,48.14976055724858,2314,14.131374243733791,1.0264603322634742,32.42080643579602,88.07865628840639
MSFT,tft,135.8849045597729,163.05412872388024,34.564301922159366,48.10849393290507,1402,3.7803138373751786,1.2258763613883827,28.195585632317034,96.27207325049052
MSN.VN,tft,4389.131376035257,4583.561900424515,6.001946189570756,52.142857142857146,515,48.54368932038835,1.160794443509449,5.170550413236794,0.0
MWG.VN,tft,4986.919889202834,5544.016307893448,6.338633047530676,48.45360824742268,343,82.79883381924198,1.4526976584588165,4.363353248779518,43.61702127659575
NFLX,tft,16.59305996083643,23.234532165223648,16.934240716580266,49.36548223350254,789,43.59949302915083,1.4537760647487832,11.648452005231324,53.275109170305676
NVDA,tft,87.99418489090195,108.87443729463294,60.41027629768583,45.34501642935378,914,8.643326039387308,2.1863187030492184,27.63104766630443,78.40690978886757
PEP,tft,37.489676149558576,42.63852054397268,25.700838001401948,48.125,1924,11.01871101871102,0.8818311067416474,29.14485302788439,91.32130667966845
PFE,tft,4.174691953286709,6.068061846867416,12.690147887963358,50.86705202312138,1924,59.77130977130977,1.1687246398180189,10.858116151242717,71.13603120429059
PG,tft,49.73807850175335,58.34291437732503,36.82118711241638,46.39756944444444,2314,17.675021607605878,0.8467350712460818,43.48607771522818,89.14379352724293
PLTR,tft,9.021558786683515,10.813041420035168,6.441536569008781,48.95833333333333,96,78.125,2.772185881982016,2.3236308253627302,8.071748878923767
PLX.VN,tft,1587.3274480106952,1956.7311756325205,4.016627929753396,53.36538461538461,237,51.47679324894515,2.066349951567652,1.9438275335241015,0.27472527472527475
PNJ.VN,tft,4509.744289149975,5262.456440099552,7.3049495378145295,50.114942528735625,516,79.26356589147287,1.5080454982841618,4.843984844042188,32.45341614906832
POW.VN,tft,543.6260337449739,608.2133910608142,3.971610850794062,53.67647058823529,171,81.28654970760235,1.449986247036179,2.7390679455837383,0.0
PYPL,tft,1.8342536473581952,2.423027364536435,3.0488525213003306,54.26621160409556,294,60.544217687074834,1.6688653639275957,1.8269014308769644,0.0
QCOM,tft,14.731286557729645,20.050011148590187,9.36477772546418,47.97297297297297,1184,66.8918918918919,1.8949209227576345,4.942041439827387,46.681922196796336
QQQ,tft,95.62571657025764,130.86310398626966,16.717683183870104,43.18681318681319,910,39.56043956043956,0.921604431634589,18.139759977302898,65.1880424300868
ROKU,tft,8.438758730584347,9.319939378450494,7.084940772145018,46.411483253588514,209,15.311004784688995,1.8739484300876537,3.78075546711476,0.0
SAB.VN,tft,577.9311188552684,815.8058649493826,1.3118394179849768,52.80373831775701,251,78.48605577689243,1.1390450263866738,1.1517011071515308,0.0
SAND-USD,tft,0.0171464039605323,0.0184008401152875,27.65989379715863,41.66666666666667,204,100.0,2.753480232144147,10.045430315517374,0.0
SHOP,tft,10.559094152913085,11.623281822410776,7.9448285934946306,49.494949494949495,298,67.4496644295302,2.5975335552832712,3.0586047973606316,2.8169014084507045
SNOW,tft,10.387518852643352,14.003267129703795,4.581365739707389,47.42268041237113,97,63.91752577319587,2.66435071277528,1.7195055131969768,0.0
SOL-USD,tft,10.915491178699083,11.48568060516452,12.9711532574058,52.91479820627802,223,7.174887892376682,2.4838730461293155,5.222148240474323,0.0
SPY,tft,99.15659123447114,135.06705222586737,16.332427715362236,45.82967515364354,1141,43.47063978965819,0.7712147233989339,21.177536190415545,72.71293375394322
SSI.VN,tft,1388.591976510621,1552.631870586827,6.458588870373405,50.0,516,82.17054263565892,1.4228442129520171,4.539210133886393,10.559006211180124
STB.VN,tft,14979.261682736798,19661.96017170908,24.68354191472499,44.97716894977169,515,33.398058252427184,1.3828842469355036,17.849318892325343,66.51090342679127
TCB.VN,tft,1488.3567375511082,1614.1970929244987,4.615654791927428,51.17647058823529,194,63.91752577319587,1.3544384393944155,3.407799614717918,0.0
THETA-USD,tft,0.0225002516542848,0.0299536227876754,10.619209095382532,48.11594202898551,345,99.71014492753623,3.3292101266906453,3.189708276520956,0.0
TMO,tft,202.1223281094974,215.44046818546448,37.96956444113394,48.80294659300184,1629,3.314917127071823,1.3118584588790707,28.943339263579837,95.50369948776323
TSLA,tft,29.31862373304272,32.33375839813426,8.029890985686794,49.68944099378882,483,70.80745341614907,2.721263404085121,2.950795198154078,24.098360655737704
TXN,tft,57.62443798889443,71.77944016056385,32.67197226926636,47.99583550234253,1924,15.956340956340956,1.494811355782533,21.856920034008304,86.44563627498782
UBER,tft,4.031074227289918,4.401849374679033,5.445872678987301,49.32432432432432,148,81.75675675675676,1.7999935190720608,3.025495715003894,5.072463768115942
UNH,tft,137.442557297666,157.15837344587598,29.858065959372603,47.66162310866575,1455,9.347079037800688,1.2347141861319637,24.18216806345289,95.57522123893806
V,tft,54.55643550278874,59.02586657840067,16.464017560082304,46.397188049209134,569,18.45342706502636,0.9595024054639174,17.158912230263756,100.0
VCB.VN,tft,4449.452027528077,4686.7269148193045,6.722340309286944,50.8235294117647,515,74.75728155339806,1.0129511009145684,6.636391730279486,0.0
VEA,tft,8.792938276261426,11.531903086860536,14.08113118306858,43.31641285956007,594,44.27609427609428,0.7443258224731895,18.917966780033055,82.94036061026353
VET-USD,tft,0.000591160263843,0.0007088696360557,8.557925225550992,47.3015873015873,315,99.68253968253968,2.7495390900243613,3.1124944746558114,0.0
VHM.VN,tft,19248.14389485684,21787.474222888784,28.802945488501138,47.093023255813954,197,0.5076142131979695,2.6036389060972445,11.062573009279408,90.12345679012346
VIC.VN,tft,59207.42213813534,85104.77629711638,35.66098971527773,38.34808259587021,434,22.350230414746544,2.0609825868895104,17.302906847504346,46.3458110516934
VJC.VN,tft,6919.411172010899,8118.694043414673,5.041051616769476,51.92307692307693,244,65.98360655737704,1.695426827680397,2.9733230207678174,13.20754716981132
VNM.VN,tft,4122.211951512153,4267.12550590842,7.197689509042925,53.35195530726256,432,33.7962962962963,1.1082757418902862,6.494493416202067,0.0
VOO,tft,92.80974808813112,106.18350191251088,14.99728617234282,43.57894736842105,476,15.756302521008402,0.6806428922596754,22.034001005362928,94.02985074626866
VPB.VN,tft,3407.012250994806,3571.254345790567,12.463227196010394,52.0618556701031,225,1.7777777777777777,1.4796901999615937,8.422862566998068,81.25
VRE.VN,tft,1371.690432713897,1582.863897526141,4.782956264409185,52.63157894736842,216,51.388888888888886,2.3894109755670896,2.0017302646205617,0.0
VTI,tft,46.44704687644683,59.73336944376539,14.76768015961647,44.26829268292683,824,37.86407766990291,0.6625585430849847,22.288868378114408,70.34700315457413
VWO,tft,3.5072255359781903,4.146629050874908,6.941971932891354,45.294117647058826,683,63.39677891654466,0.757623538135804,9.16282504893216,36.37484586929716
WMT,tft,27.086537432818844,39.85304751100206,34.77519053433393,46.46781789638933,1915,15.24804177545692,0.9410485087952803,36.953664140919514,88.78550440744368
XLM-USD,tft,0.0237862863536155,0.0267025709564664,10.81062152302607,58.0281690140845,355,12.112676056338028,2.829963566440284,3.8200567849092093,0.0
XRP-USD,tft,0.1576691061128233,0.1715399354787664,9.654296391293151,57.183098591549296,355,34.36619718309859,2.3047820815383977,4.188810937322584,1.2422360248447204
ZM,tft,2.8646305638102367,3.6684187374376913,3.0950080561229645,51.65562913907284,151,72.18543046357617,2.35488393194243,1.314293249931024,0.0
