Date,Close,High,Low,Open,Volume,Ticker,BTC-USD_Close,Global_Close
2023-11-03,63380.7734375,64983.50518947602,63380.7734375,64837.80435576072,7206439,FPT.VN,,
2023-11-03,19015.15234375,19318.181640625,18750.0,19242.423828125,27057754,HPG.VN,,
2023-11-03,38094.69921875,38339.20948331194,36187.51915516688,36676.53968429076,12409700,MWG.VN,,
2023-11-03,39.51976013183594,40.22572326660156,38.21837615966797,40.208927154541016,1755955299,SOL-USD,,
2023-11-03,22646.240234375,22763.78127047629,22176.07608996984,22724.599700723404,30461879,SSI.VN,,
2023-11-03,59033.9765625,59366.00222886327,58502.73704749627,59100.3824713614,1730612,VCB.VN,,
2023-11-03,20800.0,21050.0,20625.0,20850.0,8335800,VIC.VN,,
2023-11-03,0.6130020022392273,0.6152380108833313,0.5939189791679382,0.6063860058784485,1403532406,XRP-USD,,
2023-11-03,34732.32421875,34942.47265625,34133.44140625,34942.47265625,17158456701,bitcoin_data,,
2023-11-03,,,,,,bitcoin_data_global,34732.32421875,34732.32421875
2023-11-04,0.3285419940948486,0.330267995595932,0.3219180107116699,0.3290309906005859,203170093,ADA-USD,,
2023-11-04,237.45460510253903,238.5099639892578,229.65533447265625,230.5974884033203,267965564,BNB-USD,,
2023-11-04,35082.1953125,35256.03125,34616.69140625,34736.32421875,9561294264,BTC-USD,,
2023-11-04,1857.6986083984373,1867.2613525390625,1825.736572265625,1833.368896484375,4845080427,ETH-USD,,
2023-11-04,42.34659576416016,42.69524002075195,39.168792724609375,39.52021026611328,1454107898,SOL-USD,,
2023-11-04,0.6161839962005615,0.6180210113525391,0.6101379990577698,0.6130399703979492,811373229,XRP-USD,,
2023-11-04,35082.1953125,35256.03125,34616.69140625,34736.32421875,9561294264,bitcoin_data,,
2023-11-04,,,,,,bitcoin_data_global,35082.1953125,35082.1953125
2023-11-05,0.3428699970245361,0.3497900068759918,0.3271819949150085,0.3285529911518097,315492035,ADA-USD,,
2023-11-05,244.32247924804688,245.59402465820312,236.7861785888672,237.44223022460935,419858434,BNB-USD,,
2023-11-05,35049.35546875,35340.33984375,34594.2421875,35090.01171875,12412743996,BTC-USD,,
2023-11-05,1894.15771484375,1911.608642578125,1848.6201171875,1857.3956298828125,8867152645,ETH-USD,,
2023-11-05,41.23860168457031,42.80353927612305,40.380126953125,42.37336730957031,884855278,SOL-USD,,
2023-11-05,0.6611469984054565,0.6611469984054565,0.6152909994125366,0.6161800026893616,1923304412,XRP-USD,,
2023-11-05,35049.35546875,35340.33984375,34594.2421875,35090.01171875,12412743996,bitcoin_data,,
2023-11-05,,,,,,bitcoin_data_global,35049.35546875,35049.35546875
2023-11-06,0.3634079992771148,0.3752520084381103,0.3399359881877899,0.3428589999675751,418581325,ADA-USD,,
2023-11-06,254.63479614257807,255.34230041503903,242.1800994873047,244.3204498291016,524115628,BNB-USD,,
2023-11-06,35037.37109375,35286.02734375,34765.36328125,35044.7890625,12693436420,BTC-USD,,
2023-11-06,1899.83740234375,1914.5826416015625,1871.9730224609373,1894.027099609375,8104122602,ETH-USD,,
2023-11-06,64473.5390625,64764.94824829558,63963.58239615231,64254.9915819479,2639808,FPT.VN,,
2023-11-06,19507.576171875,19621.212890625,19090.908203125,19204.544921875,62133058,HPG.VN,,
2023-11-06,37214.4609375,38143.59990965834,36774.34247700394,38143.59990965834,13078700,MWG.VN,,
2023-11-06,42.12858963012695,42.155067443847656,39.825077056884766,41.238563537597656,1010459088,SOL-USD,,
2023-11-06,22724.599609375,22959.6816806326,22567.87884072949,22842.1406450038,21433559,SSI.VN,,
2023-11-06,59432.41015625,59631.62401165644,58768.35880097004,59033.97856749325,1246531,VCB.VN,,
2023-11-06,21050.0,21150.0,20825.0,20975.0,8672000,VIC.VN,,
2023-11-06,0.715516984462738,0.7298719882965088,0.660660982131958,0.661126971244812,3293503683,XRP-USD,,
2023-11-06,35037.37109375,35286.02734375,34765.36328125,35044.7890625,12693436420,bitcoin_data,,
2023-11-06,,,,,,bitcoin_data_global,35037.37109375,35037.37109375
2023-11-07,0.3515709936618805,0.3654719889163971,0.3351300060749054,0.3632929921150207,438830911,ADA-USD,,
2023-11-07,246.39529418945312,255.5460968017578,242.69497680664065,254.65328979492188,549207441,BNB-USD,,
2023-11-07,35443.5625,35892.41796875,34545.81640625,35047.79296875,18834737789,BTC-USD,,
2023-11-07,1888.124267578125,1907.5614013671875,1852.7908935546875,1900.5997314453125,9203228152,ETH-USD,,
2023-11-07,64327.84375,64692.099618207016,64036.44206624892,64473.54459187554,1772412,FPT.VN,,
2023-11-07,19545.455078125,19848.484375,19280.302734375,19545.455078125,26243842,HPG.VN,,
2023-11-07,37361.16796875,38583.71927662795,36676.53923633835,37067.75565485929,13765400,MWG.VN,,
2023-11-07,43.09254455566406,44.42584991455078,40.31990814208984,42.13777160644531,1780187159,SOL-USD,,
2023-11-07,22215.255859375,22959.68181037104,22176.0761261369,22646.240271308856,22889759,SSI.VN,,
2023-11-07,58635.55078125,59299.59825773182,58635.55078125,59100.38440258167,775755,VCB.VN,,
2023-11-07,21025.0,21075.0,20625.0,20900.0,8590000,VIC.VN,,
2023-11-07,0.6864020228385925,0.7155050039291382,0.6576589941978455,0.7155050039291382,2813667010,XRP-USD,,
2023-11-07,35443.5625,35892.41796875,34545.81640625,35047.79296875,18834737789,bitcoin_data,,
2023-11-07,,,,,,bitcoin_data_global,35443.5625,35443.5625
2023-11-08,0.35835000872612,0.3597640097141266,0.3499220013618469,0.3515830039978027,300080444,ADA-USD,,
2023-11-08,247.123291015625,247.8090667724609,244.58038330078125,246.3901214599609,369346518,BNB-USD,,
2023-11-08,35655.27734375,35994.41796875,35147.80078125,35419.4765625,17295394918,BTC-USD,,
2023-11-08,1889.3223876953125,1904.5462646484373,1874.545654296875,1887.1190185546875,6751627017,ETH-USD,,
2023-11-08,67460.4609375,67460.4609375,64109.28887708865,64254.9972463492,5503052,FPT.VN,,
2023-11-08,20416.666015625,20416.666015625,19393.939453125,19545.455078125,46884682,HPG.VN,,
2023-11-08,38730.42578125,38730.42578125,35894.106721512,37067.75598761048,19816000,MWG.VN,,
2023-11-08,43.18988800048828,43.805057525634766,42.394229888916016,43.08591842651367,1009177437,SOL-USD,,
2023-11-08,23743.291015625,23743.291015625,22176.07769939385,22215.25743541151,37980239,SSI.VN,,
2023-11-08,59432.41015625,59565.21810053966,58369.93109015717,58436.33312333006,1987303,VCB.VN,,
2023-11-08,21500.0,21525.0,20800.0,20950.0,9623000,VIC.VN,,
2023-11-08,0.6880760192871094,0.6968960165977478,0.6740289926528931,0.6863200068473816,1770450557,XRP-USD,,
2023-11-08,35655.27734375,35994.41796875,35147.80078125,35419.4765625,17295394918,bitcoin_data,,
2023-11-08,,,,,,bitcoin_data_global,35655.27734375,35655.27734375
2023-11-09,0.3683350086212158,0.3858389854431152,0.3527419865131378,0.3583230078220367,685476982,ADA-USD,,
